WISEAJ022710.5; Group01; Equatorial; J2000; 02:27:10.6; +26:38:20.7; Heliocentric; Optical; 898.4; N;
Halogas; Group01; Equatorial; J2000; 02:27:19.5; +33:57:24.2; Heliocentric; Optical; 527.9; N;
UGC01924; Group01; Equatorial; J2000; 02:27:49.8; +31:43:37.1; Heliocentric; Optical; 598.1; N;
UGC01958; Group01; Equatorial; J2000; 02:28:59.0; +28:08:40.8; Heliocentric; Optical; 1015.1; N;
NGC0949; Group01; Equatorial; J2000; 02:30:48.7; +37:08:11.2; Heliocentric; Optical; 608.9; N;
GALEXASCJ02312; Group01; Equatorial; J2000; 02:31:22.1; +25:42:42.0; Heliocentric; Optical; 938.1; N;
WISEAJ023137.2; Group01; Equatorial; J2000; 02:31:37.2; +09:31:41.9; Heliocentric; Optical; 897.0; N;
KUG0228+269; Group01; Equatorial; J2000; 02:31:39.3; +27:10:43.6; Heliocentric; Optical; 977.9; N;
UGC01999; Group01; Equatorial; J2000; 02:31:52.6; +19:09:10.4; Heliocentric; Optical; 971.9; N;
WISEAJ023152.6; Group01; Equatorial; J2000; 02:31:52.7; +33:30:05.0; Heliocentric; Optical; 822.6; N;
NGC0959; Group01; Equatorial; J2000; 02:32:24.0; +35:29:40.6; Heliocentric; Optical; 596.9; N;
UGC02017; Group01; Equatorial; J2000; 02:32:45.2; +28:50:26.4; Heliocentric; Optical; 985.1; N;
UGC02014; Group11; Equatorial; J2000; 02:32:53.8; +38:40:49.7; Heliocentric; Optical; 565.1; N;
GALEXASCJ02331; Group01; Equatorial; J2000; 02:33:16.0; +28:10:43.8; Heliocentric; Optical; 1012.1; N;
UGC02034; Group11; Equatorial; J2000; 02:33:42.9; +40:31:38.7; Heliocentric; Optical; 578.0; N;
UGC02053; Group01; Equatorial; J2000; 02:34:29.7; +29:44:59.1; Heliocentric; Optical; 1028.9; N;
MB1; Group11; Equatorial; J2000; 02:35:36.3; +59:22:42.5; Heliocentric; Optical; 190.1; N;
UGC02082; Group01; Equatorial; J2000; 02:36:16.2; +25:25:26.6; Heliocentric; Optical; 708.1; N;
IC0239; Group11; Equatorial; J2000; 02:36:27.8; +38:58:09.1; Heliocentric; Optical; 893.0; N;
Maffei1; Group11; Equatorial; J2000; 02:36:35.5; +59:39:17.7; Heliocentric; Optical; 66.3; N;
WISEAJ023718.5; Group11; Equatorial; J2000; 02:37:18.6; +38:55:58.9; Heliocentric; Optical; 438.0; N;
WISEAJ023718.6; Group01; Equatorial; J2000; 02:37:18.7; +12:31:07.7; Heliocentric; Optical; 960.2; N;
GALEXASCJ02373; Group01; Equatorial; J2000; 02:37:30.2; +21:22:46.4; Heliocentric; Optical; 950.0; N;
2MASXJ02374186; Group01; Equatorial; J2000; 02:37:41.8; +14:35:35.8; Heliocentric; Optical; 968.0; N;
GALEXASCJ02380; Group01; Equatorial; J2000; 02:38:09.9; +16:32:30.9; Heliocentric; Optical; 975.0; N;
WISEAJ023816.5; Group01; Equatorial; J2000; 02:38:16.6; +29:54:19.8; Heliocentric; Optical; 693.1; N;
UGC02126; Group11; Equatorial; J2000; 02:38:47.1; +40:41:55.3; Heliocentric; Optical; 712.9; N;
NGC1003; Group11; Equatorial; J2000; 02:39:17.0; +40:52:21.3; Heliocentric; Optical; 623.9; N;
GALEXASCJ02395; Group01; Equatorial; J2000; 02:39:51.8; +30:16:13.5; Heliocentric; Optical; 810.0; N;
WISEAJ024016.7; Group01; Equatorial; J2000; 02:40:16.8; +37:37:30.5; Heliocentric; Optical; 447.9; N;
NGC1023; Group11; Equatorial; J2000; 02:40:24.0; +39:03:47.9; Heliocentric; Optical; 635.9; N;
UGC02157; Group11; Equatorial; J2000; 02:40:25.2; +38:33:47.5; Heliocentric; Optical; 488.1; N;
NGC1036; Group01; Equatorial; J2000; 02:40:29.0; +19:17:49.6; Heliocentric; Optical; 792.1; N;
NGC1023D; Group11; Equatorial; J2000; 02:40:33.1; +38:54:01.7; Heliocentric; Optical; 699.3; N;
NGC1023A; Group11; Equatorial; J2000; 02:40:37.7; +39:03:27.0; Heliocentric; Optical; 740.7; N;
NGC1023C; Group11; Equatorial; J2000; 02:40:39.8; +39:22:46.6; Heliocentric; Optical; 904.6; N;
UGC02165; Group11; Equatorial; J2000; 02:41:15.5; +38:44:37.9; Heliocentric; Optical; 699.0; N;
WISEAJ024147.1; Group01; Equatorial; J2000; 02:41:47.1; +08:03:27.9; Heliocentric; Optical; 938.0; N;
Maffei2; Group11; Equatorial; J2000; 02:41:55.0; +59:36:14.6; Heliocentric; Optical; -17.1; N;
UGC02172; Group11; Equatorial; J2000; 02:42:10.8; +43:21:18.5; Heliocentric; Optical; 544.1; N;
WISEAJ024358.0; Group01; Equatorial; J2000; 02:43:58.0; -09:14:24.2; Heliocentric; Optical; 745.0; N;
WISEAJ024447.3; Group01; Equatorial; J2000; 02:44:47.3; +22:49:59.8; Heliocentric; Optical; 1045.0; N;
UGC02221; Group01; Equatorial; J2000; 02:44:57.8; +30:22:41.9; Heliocentric; Optical; 830.1; N;
WISEAJ024535.6; Group01; Equatorial; J2000; 02:45:35.6; -25:25:21.1; Heliocentric; Optical; 929.4; N;
WISEAJ024603.6; Group11; Equatorial; J2000; 02:46:03.6; +64:55:15.8; Heliocentric; Optical; 315.1; N;
KUG0243+275; Group01; Equatorial; J2000; 02:46:38.9; +27:43:34.7; Heliocentric; Optical; 471.9; N;
WISEAJ024709.3; Group01; Equatorial; J2000; 02:47:09.3; +10:05:18.1; Heliocentric; Optical; 767.0; N;
UGC02254; Group01; Equatorial; J2000; 02:47:21.7; +37:31:30.0; Heliocentric; Optical; 578.0; N;
UGC02259; Group01; Equatorial; J2000; 02:47:55.5; +37:32:16.3; Heliocentric; Optical; 583.1; N;
UGC02275; Group01; Equatorial; J2000; 02:47:57.8; +03:53:03.8; Heliocentric; Optical; 1024.7; N;
GALEXASCJ02483; Group01; Equatorial; J2000; 02:48:39.2; +23:16:28.0; Heliocentric; Optical; 468.6; N;
UGCA044; Group01; Equatorial; J2000; 02:49:22.0; -02:39:16.5; Heliocentric; Optical; 1090.0; N;
MRK0600; Group01; Equatorial; J2000; 02:51:04.6; +04:27:13.9; Heliocentric; Optical; 1007.9; N;
GALEXASCJ02530; Group11; Equatorial; J2000; 02:53:03.9; +41:42:00.6; Heliocentric; Optical; 523.1; N;
WISEAJ025405.6; Group01; Equatorial; J2000; 02:54:05.6; -00:52:36.3; Heliocentric; Optical; 973.4; N;
WISEAJ025445.0; Group01; Equatorial; J2000; 02:54:45.0; +05:00:29.5; Heliocentric; Optical; 1007.0; N;
Dwingeloo1; Group11; Equatorial; J2000; 02:56:51.6; +58:54:42.0; Heliocentric; Optical; 110.3; N;
UGC02432; Group01; Equatorial; J2000; 02:57:26.9; +10:08:08.9; Heliocentric; Optical; 757.9; N;
GALEXASCJ02585; Group01; Equatorial; J2000; 02:58:56.4; +13:37:49.8; Heliocentric; Optical; 537.0; N;
SDSSJ025858.60; Group01; Equatorial; J2000; 02:58:58.6; -07:36:43.5; Heliocentric; Optical; 161.9; N;
NGC1156; Group01; Equatorial; J2000; 02:59:42.3; +25:14:16.2; Heliocentric; Optical; 368.0; N;
WISEAJ030053.1; Group02; Equatorial; J2000; 03:00:53.1; -01:17:48.1; Heliocentric; Optical; 809.4; N;
WISEAJ030404.7; Group20; Equatorial; J2000; 03:04:04.7; +67:16:07.3; Heliocentric; Optical; 592.7; N;
WISEAJ030526.6; Group12; Equatorial; J2000; 03:05:26.6; +54:22:42.2; Heliocentric; Optical; 355.9; N;
WISEAJ030644.1; Group02; Equatorial; J2000; 03:06:44.2; +05:20:06.9; Heliocentric; Optical; 678.3; N;
SDSSJ030646.86; Group02; Equatorial; J2000; 03:06:46.9; +00:28:10.2; Heliocentric; Optical; 704.6; N;
WISEAJ031403.2; Group12; Equatorial; J2000; 03:14:03.2; +51:50:05.9; Heliocentric; Optical; 992.6; N;
CGCG390-043; Group02; Equatorial; J2000; 03:17:02.3; +03:38:57.7; Heliocentric; Optical; 890.0; N;
WISEAJ032020.0; Group12; Equatorial; J2000; 03:20:20.0; +50:00:59.6; Heliocentric; Optical; 1065.5; N;
WISEAJ032023.2; Group02; Equatorial; J2000; 03:20:23.3; +11:51:21.0; Heliocentric; Optical; 1021.1; N;
UGC02684; Group02; Equatorial; J2000; 03:20:23.5; +17:17:45.2; Heliocentric; Optical; 349.9; N;
WISEAJ032032.6; Group02; Equatorial; J2000; 03:20:32.6; -15:54:15.5; Heliocentric; Optical; 891.9; N;
WISEAJ032232.5; Group02; Equatorial; J2000; 03:22:32.5; -23:56:48.8; Heliocentric; Optical; 899.0; N;
WISEAJ032253.2; Group02; Equatorial; J2000; 03:22:53.3; +31:02:57.5; Heliocentric; Optical; 879.3; N;
UGC02716; Group02; Equatorial; J2000; 03:24:07.3; +17:45:11.9; Heliocentric; Optical; 380.7; N;
UGC02731; Group12; Equatorial; J2000; 03:26:00.5; +42:01:28.8; Heliocentric; Optical; 968.9; N;
WISEAJ032751.0; Group02; Equatorial; J2000; 03:27:51.1; -29:08:26.8; Heliocentric; Optical; 1067.9; N;
WISEAJ032905.5; Group12; Equatorial; J2000; 03:29:05.6; +53:08:30.6; Heliocentric; Optical; 599.3; N;
WISEAJ033008.8; Group02; Equatorial; J2000; 03:30:08.9; +30:35:43.2; Heliocentric; Optical; 1075.1; N;
WISEAJ033124.5; Group02; Equatorial; J2000; 03:31:24.6; -28:04:54.5; Heliocentric; Optical; 179.9; N;
WISEAJ033138.6; Group02; Equatorial; J2000; 03:31:38.6; +31:42:02.6; Heliocentric; Optical; 1034.9; N;
UGC02773; Group12; Equatorial; J2000; 03:32:07.4; +47:47:38.9; Heliocentric; Optical; 231.1; N;
WISEAJ033228.3; Group02; Equatorial; J2000; 03:32:28.3; -00:14:37.3; Heliocentric; Optical; 899.4; N;
WISEAJ033248.6; Group02; Equatorial; J2000; 03:32:48.6; -29:29:45.6; Heliocentric; Optical; 1040.0; N;
WISEAJ033302.5; Group12; Equatorial; J2000; 03:33:02.5; +50:25:40.6; Heliocentric; Optical; 1014.8; N;
WISEAJ033325.7; Group02; Equatorial; J2000; 03:33:25.7; -27:40:57.8; Heliocentric; Optical; 599.6; N;
NGC1370; Group02; Equatorial; J2000; 03:35:14.6; -20:22:25.5; Heliocentric; Optical; 1063.1; N;
